variant,docId,reps,pages,calls,inputTokens,outputTokens,wallSeconds,latencyP50Ms,latencyP95Ms,costUsd,costPerPageUsd,costPerEntityUsd,costPerRelationUsd,requestBytes,responseBytes,entities,relationsInGraph,judgeEntityPrecision,judgeEntityRecall,judgeEntityF1,judgeRelationPrecision,judgeRelationRecall,judgeRelationF1,goldEntityF1,goldRelationF1,callsRetried,callsRateLimited,callsFailed
tag-only-80,66d96fc5cb0dd906,3,15,146.33333333333334,3463007.3333333335,409926,19.403666666666666,295.1333333333334,584.525,0.1454463079999999,0.009696420533333328,0.0006445183515509597,,12113769.666666666,987946,225.66666666666666,0,0.5212765957446809,0.5868263473053892,0.552112676056338,,,,0.9481481481481482,0.9189189189189189,2,0,0
tag-only-80,2b2a1f91b7230943,3,3,16.666666666666668,329070.6666666667,39786.333333333336,2.501333333333333,270.59999999999997,488.6666666666666,0.013820968000000001,0.004606989333333334,0.00022412380540540544,0.00037693549090909095,1145314,97745,61.666666666666664,36.666666666666664,0.9,0.9473684210526315,0.9230769230769231,0.8823529411764706,0.7894736842105263,0.8333333333333333,0.9481481481481482,0.9189189189189189,0,0,0
resolve-40,66d96fc5cb0dd906,3,15,359,4640421.666666667,551283,50.191,235.16666666666666,418.60333333333324,0.1948977100000002,0.01299318066666668,0.0009009139137134061,,16120882.666666666,1340043.6666666667,216.33333333333334,0,0.6666666666666666,0.7,0.6829268292682926,,,,0.9558823529411764,0.9189189189189189,2,0,0
resolve-40,2b2a1f91b7230943,3,3,42,482516,54844,3.8236666666666665,227.9,370.8366666666666,0.020265672000000005,0.0067552240000000015,0.000343485966101695,0.0005790192000000001,1677878,137725.66666666666,59,35,0.967741935483871,0.9375,0.9523809523809523,1,1,1,0.9558823529411764,0.9189189189189189,0,0,0
resolve-80,66d96fc5cb0dd906,3,15,235,4625669,554438,24.469333333333335,264.35,458.83333333333326,0.19427809799999998,0.012951873199999998,0.0009192969936908516,,16178940.666666666,1338474,211.33333333333334,0,0.6578947368421053,0.6666666666666666,0.6622516556291391,,,,0.962962962962963,0.9189189189189189,0,0,0
resolve-80,2b2a1f91b7230943,3,3,27,480684,54975.666666666664,3.6626666666666665,258.5,403.8033333333333,0.020188728,0.006729576,0.00034609247999999997,0.0005823671538461539,1685092,137279,58.333333333333336,34.666666666666664,0.9210526315789473,0.9210526315789473,0.9210526315789473,1,0.7894736842105263,0.8823529411764706,0.962962962962963,0.9189189189189189,0,0,0
resolve-160,66d96fc5cb0dd906,3,15,161,4623747.666666667,556347,25.724999999999998,348.5333333333333,489.0566666666667,0.19419740200000005,0.01294649346666667,0.0009758663417085429,,16240023.333333334,1336440,199,0,0.8085106382978723,0.7169811320754716,0.76,,,,0.9481481481481482,0.8918918918918919,0,0,0
resolve-160,2b2a1f91b7230943,3,3,20.666666666666668,480108,54993.333333333336,3.752333333333333,320.75,456.75,0.020164536000000004,0.0067215120000000015,0.0003437136818181819,0.0005816693076923079,1689075.3333333333,136638.66666666666,58.666666666666664,34.666666666666664,1,1,1,1,0.9047619047619048,0.9500000000000001,0.9481481481481482,0.8918918918918919,0,0,0
lean-80,66d96fc5cb0dd906,3,15,186,1317952.3333333333,542990,11.185666666666668,235.35,440.2849999999999,0.05535399799999998,0.003690266533333332,0.0003098171529850745,,3942649.6666666665,1307564.6666666667,178.66666666666666,0,0.7971014492753623,0.7006369426751592,0.7457627118644068,,,,0.9924812030075187,0.945945945945946,0,0,0
lean-80,2b2a1f91b7230943,3,3,23,136895,54112.666666666664,2.375,211.0333333333333,365.5666666666666,0.005749589999999999,0.0019165299999999996,0.0000991308620689655,0.00016272424528301883,410048,134300.33333333334,58,35.333333333333336,1,0.9736842105263158,0.9866666666666666,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.9924812030075187,0.945945945945946,0,0,0
